	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
eta_[34]	-1.14954318962184	0.00245601027106461	0.223015075877179	-1.60082175674591	-1.29304269470376	-1.14264406892077	-1.00074953113276	-0.725216657271929	8245.33086534345	1.00024950827725
eta_[35]	-1.40445208747129	0.00324535676634638	0.249581552129513	-1.93336508438464	-1.56325948668441	-1.39046454372383	-1.23174432710855	-0.942608179303604	5914.25532830615	1.00100875184119
eta_[36]	-1.09907979050478	0.00226985402042486	0.22128801000808	-1.54794945184031	-1.24431638247432	-1.09601701129369	-0.949844105636475	-0.683833599191554	9504.29507974687	1.00039549405926
eta_[37]	-0.37693783011417	0.00212484092439688	0.215986448161135	-0.797230562925753	-0.521532574688428	-0.376420300757377	-0.231798635025661	0.0526088593807093	10332.3750201025	1.00010942972051
eta_[38]	-0.766449044895555	0.0020264271404536	0.212413853126188	-1.18315048402437	-0.908328511769266	-0.766991487345607	-0.624373699277416	-0.348939376085308	10987.6214140797	0.999955153049434
eta_[39]	-1.94973774779551	0.0044410085310166	0.265005251237695	-2.44184008561841	-2.13669075581196	-1.96018548638458	-1.76830539153446	-1.41202543561329	3560.7849425108	1.00089803984849
eta_[40]	-0.77283242336385	0.00188471359158143	0.212302532301268	-1.19459194262479	-0.917044589593243	-0.773388163436152	-0.62873186233527	-0.360450763038501	12688.7728772457	0.999847509854046
eta_[41]	0.00343942892261896	0.00271945007253948	0.219055340599134	-0.418307352589047	-0.144040985642507	0.00104101863913009	0.147505805146912	0.443976721604152	6488.51797254168	1.00020350198337
eta_[42]	0.739745759988339	0.0043420078161154	0.236123550320082	0.292981800917849	0.579330859206015	0.735278905084449	0.895717154425647	1.22227416193633	2957.3137829932	1.00033131073012
eta_[43]	-1.43159222263468	0.0033664962484089	0.253921015574317	-1.97407934838863	-1.59448174261345	-1.41538133444234	-1.25625347374714	-0.965748409484931	5689.06666824734	1.00001324529826
eta_[44]	-1.57478234248652	0.00401697790024532	0.268124166016217	-2.1247830366773	-1.75498961446518	-1.56101263013921	-1.38604739105475	-1.08263562037596	4455.25978299888	1.00013740089061
eta_[45]	-1.06581798254774	0.00227352195251414	0.218815779607472	-1.5065457693122	-1.20816069182908	-1.06330733523205	-0.919168304204942	-0.644240515215424	9263.15584433781	1.00057976056027
