	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
p_y[138,1]	0.0000504431429391691	0.0000125436030321813	0.00146183553234721	0.000000000000000000857543578885044	0.0000000000150542107703895	0.00000000403180604186199	0.00000035621550298564	0.000130359362007017	13581.6465763595	0.999964343487895
p_y[138,2]	0.999949556857061	0.0000125436030321822	0.00146183553234721	0.999869640637993	0.999999643784497	0.999999995968194	0.999999999984946	1	13581.6465763577	0.999964343487889
p_y[139,1]	0.0000341541057418126	0.0000209886915371037	0.00243378633940945	0.000000000000000000000303125451731194	0.00000000000015140407413289	0.000000000152787036697852	0.0000000321300491644698	0.0000380965795186313	13446.0328636657	1.00004169870665
p_y[139,2]	0.999965845894258	0.0000209886915371035	0.00243378633940945	0.999961903420481	0.999999967869951	0.999999999847213	0.999999999999849	1	13446.032863666	1.00004169870665
p_y[140,1]	0.0000216974025557857	0.00000688958194375821	0.000815057486302593	0.0000000000000000000017445087251413	0.000000000000328932962252333	0.000000000245946853354723	0.0000000443307934032542	0.0000531404572516683	13995.5748629121	1.00004261246904
p_y[140,2]	0.999978302597444	0.00000688958194375837	0.000815057486302592	0.999946859542748	0.999999955669207	0.999999999754053	0.999999999999671	1	13995.5748629114	1.00004261246904
p_y[141,1]	0.0000860911816169511	0.0000140311534986158	0.00161035594452887	0.000000000000000144909535648266	0.000000000321442933089945	0.0000000430443565258438	0.00000196675950377272	0.00042491790323136	13172.1603842668	1.00006813379731
p_y[141,2]	0.999913908818383	0.0000140311534986159	0.00161035594452887	0.999575082096769	0.999998033240496	0.999999956955643	0.999999999678557	1	13172.1603842666	1.0000681337973
p_y[142,1]	0.000142869168761955	0.0000134132508140397	0.00142315777100136	0.00000000000000380037166121879	0.00000000223027288339059	0.000000202529625587364	0.00000708595946960517	0.000871704558062966	11257.3976222534	1.00015831970448
p_y[142,2]	0.999857130831238	0.0000134132508140397	0.00142315777100136	0.999128295441937	0.99999291404053	0.999999797470374	0.999999997769727	0.999999999999996	11257.3976222533	1.00015831970448
